glyph_name,sort_final,USV
u1017,323,1017
u1017.med,324,
u1018,325,1018
u1018.med,326,
u1019,327,1019
u1019.kham,328,
u1019.med,329,
u1019.med.kham,330,
u1019.sml,331,
u101A,332,101A
u101A.aiph,333,
u101A.kham,334,
u101A.med,335,
u101A.med.aiph,336,
u101B,337,101B
u101B.alt,338,
u101B.kham,339,
u101B.kinzi,340,
u101B.kinzi_u102D,341,
u101B.kinzi_u102E,342,
u101B.kinzi_u103A,343,
u101B.long,344,
u101B.med,345,
u101B_u103B,346,
u101C,347,101C
u101C.aiph,348,
u101C.kham,349,
u101C.med,350,
u101C.med.aiph,351,
u101C.med_u103D,352,
u101D,353,101D
u101D.aiph,354,
u101E,355,101E
u101E.thai,356,
u101E.med,357,
u101E.med.thai,358,
u101E.sml,359,
u101E_u1010_u103C,360,
u101F,361,101F
u101F.small,362,
u1020,363,1020
u1020.long,364,
u1020.thai,365,
u1020.med.thai,366,
u1020_u1020,367,
u1020_u103E,368,
u1021,369,1021
u1021.thai,370,
u1021.med,371,
u1022,372,1022
u1022.aiph,373,
u1022.kham,374,
u1023,375,1023
u1023.thai,376,
u1024,377,1024
u1025,378,1025
u1026,379,1026
u1027,380,1027
u1028,381,1028
u1029,382,1029
u102A,383,102A
u102B,384,102B
u102B_u103A,385,
u102C,386,102C
u102D,387,102D
u102D_u1036,388,
u102D_uAA70,389,
u102D_uAA7C,390,
u102E,391,102E
u102E_u1036,392,
u102E_uAA70,393,
u102E_uAA7C,394,
u102F,395,102F
u102F.med,396,
u102F_u108D,397,
u1030,398,1030
u1030.med,399,
u1030_u108D,400,
u1031,401,1031
u1031.aiph,402,
u1032,403,1032
u1032_u102D,404,
u1032_u1036,405,
u1033,406,1033
u1034,407,1034
u1035,408,1035
u1036,409,1036
u1036.dot,410,
u1037,411,1037
u1038,412,1038
u1038.dot,413,
u1039,414,1039
u103A,415,103A
u103A_u1036,416,
u103A_uAA70,417,
u103B,418,103B
u103B_u103D,419,
u103B_u103D.tri,420,
u103B_u103D_u103E,421,
u103B_u103D_u103E.tri,422,
u103B_u103E,423,
u103C,424,103C
u103C.alt.narr,425,
u103C.alt.open.narr,426,
u103C.alt.open.wide,427,
u103C.alt.wide,428,
u103C.open.narr,429,
u103C.open.wide,430,
u103C.wide,431,
u103C_u102F.alt.narr,432,
u103C_u102F.alt.wide,433,
u103C_u102F.narr,434,
u103C_u102F.wide,435,
u103C_u103D.alt.narr,436,
u103C_u103D.alt.narr.tri,437,
u103C_u103D.alt.wide,438,
u103C_u103D.alt.wide.tri,439,
u103C_u103D.narr,440,
u103C_u103D.narr.tri,441,
u103C_u103D.wide,442,
u103C_u103D.wide.tri,443,
u103C.aiph,444,
u103C.wide.aiph,445,
u103D,446,103D
u103D.sml,447,
u103D.tri,448,
u103D_u103E,449,
u103D_u103E.small,450,
u103D_u103E.small.tri,451,
u103D_u103E.tri,452,
u103D_u1060,453,
u103D_u108D,454,
u103E,455,103E
u103E.alt,456,
u103E.slanth,457,
u103E.slantr,458,
u103E_u102F,459,
u103E_u102F.slanth,460,
u103E_u102F.slantr,461,
u103E_u1030,462,
u103E_u1030.slanth,463,
u103E_u1030.slantr,464,
u103E_u1060,465,
u103F,466,103F
u103F.thai,467,
u1040,468,1040
u1041,469,1041
u1042,470,1042
u1043,471,1043
u1044,472,1044
u1045,473,1045
u1046,474,1046
u1047,475,1047
u1048,476,1048
u1049,477,1049
u1049.thai,478,
u104A,479,104A
u104A.thai,480,
u104B,481,104B
u104B.thai,482,
u104C,483,104C
u104D,484,104D
u104E,485,104E
u104F,486,104F
u1050,487,1050
u1050.med,488,
u1051,489,1051
u1051.med,490,
u1051_u100C,491,
u1051_u100D,492,
u1052,493,1052
u1053,494,1053
u1054,495,1054
u1055,496,1055
u1056,497,1056
u1057,498,1057
u1058,499,1058
u1059,500,1059
u105A,501,105A
u105A.med,502,
u105B,503,105B
u105B.med,504,
u105C,505,105C
u105C.med,506,
u105D,507,105D
u105E,508,105E
u105F,509,105F
u1060,510,1060
u1061,511,1061
u1061.slanth,512,
u1061.slantr,513,
u1062,514,1062
u1062_u103A,515,
u1063,516,1063
u1063_u103A,517,
u1064,518,1064
u1065,519,1065
u1066,520,1066
u1066.slanth,521,
u1066.slantr,522,
u1067,523,1067
u1068,524,1068
u1069,525,1069
